nm, %R
1500.000000, 24.984299
1490.000000, 25.914516
1480.000000, 26.239304
1470.000000, 26.169035
1460.000000, 25.977603
1450.000000, 26.035675
1440.000000, 25.580145
1430.000000, 24.586204
1420.000000, 23.434211
1410.000000, 21.348342
1400.000000, 19.349760
1390.000000, 20.284082
1380.000000, 22.584385
1370.000000, 23.961410
1360.000000, 26.774318
1350.000000, 30.715933
1340.000000, 32.717297
1330.000000, 33.715134
1320.000000, 34.328781
1310.000000, 34.678328
1300.000000, 34.821073
1290.000000, 34.931296
1280.000000, 35.120473
1270.000000, 35.366157
1260.000000, 35.662346
1250.000000, 35.935332
1240.000000, 36.131430
1230.000000, 36.052036
1220.000000, 35.200655
1210.000000, 33.999408
1200.000000, 32.115758
1190.000000, 26.619069
1180.000000, 22.860485
1170.000000, 27.155410
1160.000000, 31.592999
1150.000000, 32.988549
1140.000000, 34.830674
1130.000000, 37.429459
1120.000000, 38.920772
1110.000000, 39.529467
1100.000000, 39.659110
1090.000000, 39.642376
1080.000000, 39.978974
1070.000000, 40.571290
1060.000000, 41.101130
1050.000000, 41.485813
1040.000000, 41.712018
1030.000000, 41.655529
1020.000000, 41.439233
1010.000000, 41.696305
1000.000000, 42.440550
990.000000, 43.101115
980.000000, 43.656138
970.000000, 44.107931
960.000000, 44.460061
950.000000, 44.799267
940.000000, 45.153875
930.000000, 45.448680
920.000000, 45.344460
910.000000, 44.595827
900.000000, 44.391472
890.000000, 45.792597
880.000000, 47.005220
870.000000, 47.612939
860.000000, 48.162028
850.000000, 48.723584
840.000000, 49.355588
830.000000, 49.828773
820.000000, 50.259044
810.000000, 50.640195
800.000000, 51.115876
790.000000, 51.662830
780.000000, 52.143967
770.000000, 52.540479
760.000000, 53.046990
750.000000, 53.435567
740.000000, 53.618548
730.000000, 54.309339
720.000000, 54.944356
710.000000, 55.477541
700.000000, 55.862959
690.000000, 56.386803
680.000000, 56.870916
670.000000, 57.313623
660.000000, 57.803411
650.000000, 58.232785
640.000000, 58.690908
630.000000, 59.124128
620.000000, 59.656880
610.000000, 60.137301
600.000000, 60.569554
590.000000, 61.048352
580.000000, 61.447297
570.000000, 61.862723
560.000000, 62.247661
550.000000, 62.576849
540.000000, 62.883770
530.000000, 63.166421
520.000000, 63.425313
510.000000, 63.616851
500.000000, 63.769200
490.000000, 63.979171
480.000000, 64.131724
470.000000, 64.241060
460.000000, 64.276059
450.000000, 64.188358
440.000000, 64.118296
430.000000, 64.159942
420.000000, 63.398833
410.000000, 57.303349
400.000000, 39.866097
