nm, %T
1500.000000, 27.259369
1490.000000, 27.969421
1480.000000, 27.942145
1470.000000, 27.434094
1460.000000, 26.756563
1450.000000, 26.368303
1440.000000, 25.380229
1430.000000, 23.728435
1420.000000, 21.867908
1410.000000, 18.859108
1400.000000, 15.889399
1390.000000, 16.433028
1380.000000, 18.685700
1370.000000, 19.807177
1360.000000, 22.395317
1350.000000, 26.095584
1340.000000, 27.696158
1330.000000, 28.246659
1320.000000, 28.389043
1310.000000, 28.261950
1300.000000, 27.917410
1290.000000, 27.537947
1280.000000, 27.250287
1270.000000, 27.026045
1260.000000, 26.845426
1250.000000, 26.639247
1240.000000, 26.370559
1230.000000, 25.849989
1220.000000, 24.592303
1210.000000, 22.985450
1200.000000, 20.780887
1190.000000, 15.258243
1180.000000, 11.273471
1170.000000, 14.769133
1160.000000, 18.476900
1150.000000, 19.346930
1140.000000, 20.554444
1130.000000, 22.448626
1120.000000, 23.338765
1110.000000, 23.412819
1100.000000, 23.069547
1090.000000, 22.597022
1080.000000, 22.430804
1070.000000, 22.483996
1060.000000, 22.480485
1050.000000, 22.354073
1040.000000, 22.098328
1030.000000, 21.602638
1020.000000, 20.967003
1010.000000, 20.721996
1000.000000, 20.887616
990.000000, 20.989912
980.000000, 20.996087
970.000000, 20.914005
960.000000, 20.742501
950.000000, 20.560066
940.000000, 20.390870
930.000000, 20.170599
920.000000, 19.636510
910.000000, 18.604937
900.000000, 17.979344
890.000000, 18.601064
880.000000, 19.102533
870.000000, 19.112192
860.000000, 19.003324
850.000000, 18.776873
840.000000, 18.723791
830.000000, 18.623167
820.000000, 18.447322
810.000000, 18.300807
800.000000, 18.237813
790.000000, 18.151727
780.000000, 18.006983
770.000000, 17.884256
760.000000, 17.748457
750.000000, 17.475392
740.000000, 17.170759
730.000000, 17.191057
720.000000, 17.097960
710.000000, 16.950830
700.000000, 16.807290
690.000000, 16.660798
680.000000, 16.496784
670.000000, 16.342136
660.000000, 16.178406
650.000000, 16.017295
640.000000, 15.845760
630.000000, 15.665918
620.000000, 15.553692
610.000000, 15.412329
600.000000, 15.248978
590.000000, 15.095286
580.000000, 14.949853
570.000000, 14.792036
560.000000, 14.641528
550.000000, 14.477087
540.000000, 14.313899
530.000000, 14.147953
520.000000, 13.983546
510.000000, 13.816304
500.000000, 13.649669
490.000000, 13.485351
480.000000, 13.336205
470.000000, 13.192001
460.000000, 13.032912
450.000000, 12.850324
440.000000, 12.683967
430.000000, 12.541993
420.000000, 11.961476
410.000000, 8.898759
400.000000, 2.788504
