nm, %R
1500.000000, 29.949656
1490.000000, 31.782245
1480.000000, 32.726977
1470.000000, 33.034567
1460.000000, 33.055918
1450.000000, 33.306084
1440.000000, 32.523558
1430.000000, 30.751607
1420.000000, 28.677185
1410.000000, 25.148816
1400.000000, 21.748433
1390.000000, 22.545853
1380.000000, 25.291747
1370.000000, 26.955205
1360.000000, 30.832368
1350.000000, 36.382141
1340.000000, 39.225284
1330.000000, 40.634444
1320.000000, 41.481589
1310.000000, 41.954352
1300.000000, 42.133948
1290.000000, 42.274068
1280.000000, 42.541137
1270.000000, 42.900657
1260.000000, 43.344938
1250.000000, 43.755801
1240.000000, 44.047410
1230.000000, 43.917292
1220.000000, 42.625923
1210.000000, 40.829839
1200.000000, 38.140911
1190.000000, 30.523996
1180.000000, 25.386487
1170.000000, 31.198172
1160.000000, 37.247372
1150.000000, 39.183171
1140.000000, 41.797292
1130.000000, 45.504394
1120.000000, 47.614567
1110.000000, 48.429614
1100.000000, 48.540289
1090.000000, 48.442838
1080.000000, 48.875719
1070.000000, 49.678014
1060.000000, 50.377483
1050.000000, 50.862583
1040.000000, 51.119156
1030.000000, 50.948708
1020.000000, 50.536299
1010.000000, 50.822040
1000.000000, 51.826759
990.000000, 52.700402
980.000000, 53.407218
970.000000, 53.941515
960.000000, 54.305071
950.000000, 54.625097
940.000000, 54.948052
930.000000, 55.178927
920.000000, 54.831281
910.000000, 53.574048
900.000000, 53.089194
890.000000, 54.876770
880.000000, 56.388626
870.000000, 57.010608
860.000000, 57.473525
850.000000, 57.895282
840.000000, 58.535846
830.000000, 58.901897
820.000000, 59.112468
810.000000, 59.284295
800.000000, 59.587067
790.000000, 59.946848
780.000000, 60.064591
770.000000, 60.353418
760.000000, 60.621166
750.000000, 60.662470
740.000000, 60.501710
730.000000, 61.005776
720.000000, 61.405949
710.000000, 61.631866
700.000000, 61.826159
690.000000, 62.093569
680.000000, 62.286907
670.000000, 62.519540
660.000000, 62.730789
650.000000, 62.925777
640.000000, 63.162425
630.000000, 63.364865
620.000000, 63.682595
610.000000, 63.954969
600.000000, 64.189313
590.000000, 64.478825
580.000000, 64.714690
570.000000, 64.962346
560.000000, 65.224956
550.000000, 65.431450
540.000000, 65.634481
530.000000, 65.865535
520.000000, 66.099000
510.000000, 66.297662
500.000000, 66.478046
490.000000, 66.708839
480.000000, 66.894419
470.000000, 67.104714
460.000000, 67.289398
450.000000, 67.408510
440.000000, 67.533827
430.000000, 67.570913
420.000000, 66.684988
410.000000, 59.829319
400.000000, 40.570203
