nm, %T
1500.000000, 35.218334
1490.000000, 36.831789
1480.000000, 37.407230
1470.000000, 37.243539
1460.000000, 36.711063
1450.000000, 36.449091
1440.000000, 35.086385
1430.000000, 32.560910
1420.000000, 29.669267
1410.000000, 25.066187
1400.000000, 20.442720
1390.000000, 20.740634
1380.000000, 23.489267
1370.000000, 24.896663
1360.000000, 28.517600
1350.000000, 33.861254
1340.000000, 36.302669
1330.000000, 37.219920
1320.000000, 37.536954
1310.000000, 37.462302
1300.000000, 37.076224
1290.000000, 36.644556
1280.000000, 36.353218
1270.000000, 36.160289
1260.000000, 36.037681
1250.000000, 35.876563
1240.000000, 35.611627
1230.000000, 34.963790
1220.000000, 33.196029
1210.000000, 30.887438
1200.000000, 27.817032
1190.000000, 20.101274
1180.000000, 14.445184
1170.000000, 19.280222
1160.000000, 24.598174
1150.000000, 25.949205
1140.000000, 27.797411
1130.000000, 30.697831
1120.000000, 32.121738
1110.000000, 32.306303
1100.000000, 31.847030
1090.000000, 31.179918
1080.000000, 30.981591
1070.000000, 31.123613
1060.000000, 31.178361
1050.000000, 31.037803
1040.000000, 30.695817
1030.000000, 29.979166
1020.000000, 29.042559
1010.000000, 28.698810
1000.000000, 28.990839
990.000000, 29.179189
980.000000, 29.213994
970.000000, 29.101836
960.000000, 28.839761
950.000000, 28.542324
940.000000, 28.245587
930.000000, 27.869491
920.000000, 27.034636
910.000000, 25.450014
900.000000, 24.457918
890.000000, 25.323960
880.000000, 26.020108
870.000000, 25.972613
860.000000, 25.746161
850.000000, 25.346767
840.000000, 25.110373
830.000000, 24.845140
820.000000, 24.439341
810.000000, 24.088793
800.000000, 23.858357
790.000000, 23.635387
780.000000, 23.304321
770.000000, 22.938226
760.000000, 22.550844
750.000000, 22.066709
740.000000, 21.514362
730.000000, 21.379716
720.000000, 21.114459
710.000000, 20.759483
700.000000, 20.437725
690.000000, 20.116391
680.000000, 19.768254
670.000000, 19.445224
660.000000, 19.131919
650.000000, 18.823602
640.000000, 18.490827
630.000000, 18.168763
620.000000, 17.930402
610.000000, 17.663493
600.000000, 17.380584
590.000000, 17.111604
580.000000, 16.854162
570.000000, 16.605551
560.000000, 16.368228
550.000000, 16.134000
540.000000, 15.919465
530.000000, 15.698741
520.000000, 15.492272
510.000000, 15.293345
500.000000, 15.105666
490.000000, 14.926838
480.000000, 14.771824
470.000000, 14.625927
460.000000, 14.481346
450.000000, 14.347349
440.000000, 14.228431
430.000000, 14.059867
420.000000, 13.375749
410.000000, 9.856487
400.000000, 2.997001
